Number of items: 4222
Number of items with reviews: 3148
Number of reviews: 21765
Number of reviewers (non-anonymous): 12954

AuthorID                    Number of Reviews
Anonymous    5424
bE9qdmdFQ1ZzMjBnYlhTTFhJQ0lRWWhMSU1tVXp1YlE=    28
YXIyMG5IL2pGSzhONlA3Umt0MExBaVp2OEZvdG1qSko=    28
MlVlY2ozVHZEbmk1ZTV3RDZkdFlteFF6UFlHL3JvQ2s=    28
Zm5BcndKMUhhVFQ3V2U4NG9nS01ZSHBpdU1oV3FpOGM=    27
aDdZZVpneE1SNzhnRi9xNTJQNkpiNXFOa0JPZjdoYng=    27
cFVGZ0d3U1RjWFZacld2SWJIbTZ1VzBzOWoxbmdNOFI=    27
RW1WeTFZV25vMFQ3eGhiM0JvTWdKcEVwaFQzbkhEOGY=    27
MGJmbVkrdnQ0ZTJNN1ROM2kyRjdYanBrb0tvUzNiOEw=    27
WGp4UDlFQ3BCVXhTbk5NY1RzbHBKcnZBakFVQzBmVUw=    16
aDJFbGJPc1ltaDVuK0Mra25WNVJDZjlSRk1KdVN6eHc=    15
cjJjWmNsZytoVVlnbFI5RHhSanJQa3lpS214N3RmcFc=    15
YjNwaFgzeVY5aWhtdElxaU1uVVBhdz09    15
MWw3VkZ3RXlOVmF0N09zZE1JdUFZakd3UnB4eTR4MFc=    15
dTlrM2IxQjdHdk5XWGJhZWxLT0d3OVp2ODNDekR0VWg=    15
QjF3cmg5b1J6Ty9zSXBEem5IOEg2SnNDWm14b0Z0bjM=    13
ckRoazcxc1lMdHp4REI0Q2dTRCtJT3hoMzZWZ3p0MWg=    13
Ny9UakhPU0xsWnpYZ3owbUdvYkFqendRUGJhcmNGRDk=    12
S3NXWTV5WlBBMlZmU241eStVSUNIdmF0dHp3ekthV08=    12
K2RHUGZaWFQzeXZCWFlNWGVGSU0xdz09    12
akFmQUxSTWpBeUsxUXRCRkFRR2NIYVkzbDdDRmJiYjg=    11
ZFdxaVZ2YU12WkdBbDFSMHZsS1U1bFI5NzdERy9OZjY=    11
ZXk3VVBMUWU0SWRaMmZidFd6KytSMXlJa1pqbUowVDA=    11
dGNFMVVIL0J6b1RKZktzR2RsNGJ4TFFlKysxdmFWQjA=    11
aTRCU0ZjYkZKdzFUOFFWbVJSdDZkQT09    10
MHBUVzZNczBUWkJhK3BOYmdwSmtqdmREakg1Um9GZEk=    10
WFlKQlZxMVhDbWk4TUNkby9RTHlQWmNGOTlZc002QnE=    10
R2xUZkFvK2hoSFpRNXZZVlZ3bEhhU1dVaEpINW4zcy8=    10
TDZaYkFOQy9Ndm1mS3FIOGk0ZVErcDAwbmx1RmRGZ3Q=    10
TENZZG9ueVYya2U1M0ZHdUkrN2Vvd3Q1WWdyek1ZWnM=    10
TVM1eG5FT2NpNkw0SVRqQTZ2OG92dTMwRDVlY3BMMHc=    10
WUxRZkRMclZjMkZQV0cyT2xjaEVQS2FSUWFzR2RSYVo=    10
aXEvaHRkK0Q5bUFpVHQxS3BOdGxMVmhBdkNnQ3R3Z0Q=    10
bTk2RS9tSE9kOWNORXhBUXA5c282MG8xRVh2b2wrcCs=    10
U21KdWkxeVJYckpycXZLKythbzB4elBiVTlHZzRjck4=    10
RUhxTEZtRFBIaEEvODhvVnQvNDJueVFWM1puK2hOdHo=    10
NEpNVHhDd09jZGxVU2FzT0F3SU9HQT09    10
Yk1EMzJDUkk1aEFGZ1FRS0hNVjZ2TEpDQ2lGRzk0dTg=    9
c1cyY3pObGhzY3BGVTZhSVNtbnloa2lpemhsbzl4MFg=    9
UTFYYXRtbjdubjhURStiR3RCQUZ1R2dseU9sUk01ek0=    9
eTNXK1l2ZUZkZnBJZ1JPSW44Y1hqdz09    9
dVJJWFVzN0QvSER6MW9XaWp6OVJlUT09    9
